Term,Canada
canada appeared in 50documents,Total words (m),Frequency (f),Relative frequency (Rf)
article/article8.txt,68,1,0.014705882352941176
article/article13.txt,62,1,0.016129032258064516
article/article15.txt,72,2,0.027777777777777776
article/article62.txt,49,1,0.02040816326530612
article/article84.txt,52,3,0.057692307692307696
article/article101.txt,66,1,0.015151515151515152
article/article104.txt,68,1,0.014705882352941176
article/article108.txt,68,1,0.014705882352941176
article/article114.txt,74,2,0.02702702702702703
article/article115.txt,76,1,0.013157894736842105
article/article116.txt,50,1,0.02
article/article117.txt,58,1,0.017241379310344827
article/article118.txt,63,1,0.015873015873015872
article/article133.txt,56,1,0.017857142857142856
article/article134.txt,63,1,0.015873015873015872
article/article135.txt,62,1,0.016129032258064516
article/article154.txt,59,2,0.03389830508474576
article/article159.txt,19,2,0.10526315789473684
article/article161.txt,58,1,0.017241379310344827
article/article169.txt,58,1,0.017241379310344827
article/article177.txt,71,1,0.014084507042253521
article/article180.txt,63,1,0.015873015873015872
article/article183.txt,66,1,0.015151515151515152
article/article187.txt,67,1,0.014925373134328358
article/article188.txt,77,1,0.012987012987012988
article/article200.txt,65,1,0.015384615384615385
article/article211.txt,72,2,0.027777777777777776
article/article213.txt,72,1,0.013888888888888888
article/article220.txt,54,2,0.037037037037037035
article/article237.txt,64,2,0.03125
article/article239.txt,56,1,0.017857142857142856
article/article245.txt,57,1,0.017543859649122806
article/article253.txt,62,1,0.016129032258064516
article/article260.txt,64,1,0.015625
article/article261.txt,58,1,0.017241379310344827
article/article262.txt,66,1,0.015151515151515152
article/article267.txt,48,1,0.020833333333333332
article/article268.txt,51,1,0.0196078431372549
article/article270.txt,55,2,0.03636363636363636
article/article271.txt,55,2,0.03636363636363636
article/article273.txt,56,1,0.017857142857142856
article/article275.txt,66,1,0.015151515151515152
article/article277.txt,66,2,0.030303030303030304
article/article400.txt,63,1,0.015873015873015872
article/article417.txt,75,1,0.013333333333333334
article/article444.txt,48,1,0.020833333333333332
article/article447.txt,48,1,0.020833333333333332
article/article460.txt,67,1,0.014925373134328358
article/article482.txt,79,1,0.012658227848101266
article/article485.txt,58,1,0.017241379310344827
